index,hospital_name,city,state,hospital_type,beds,rating,nabh,specialties,address,latitude,longitude,disease,treatment,treatment_cost_inr,beds_for_specific_disease,patients_on_disease_beds,patients_treated_well,patients_not_treated_well
93,Chittaranjan Cancer Institute,Kolkata,West Bengal,Government,350,4.3,Yes,Oncology | Surgical Oncology | Radiation Oncology | Gynae Oncology,"37 SP Mukherjee Road, Kolkata 700026",22.6064,88.4069,Colorectal cancer,Surgical resection with chemotherapy as per oncology protocol,293100,31,18,16,2
94,NRS Medical College,Kolkata,West Bengal,Government,1600,4,Yes,General Medicine | Surgery | Trauma | Paediatrics,"138 AJC Bose Road, Sealdah, Kolkata 700014",22.5525,88.3781,Breast cancer,Surgery with chemotherapy/radiotherapy as per oncology protocol,206200,120,75,66,9
95,ILS Hospital Dumdum,Kolkata,West Bengal,Private,250,4.1,Yes,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | General Medicine,"DD-6, Sector 1, Salt Lake City, Kolkata 700064",22.5704,88.3371,Oral cancer,Surgical resection with radiotherapy/chemotherapy as indicated,217200,29,16,14,2
96,Desun Hospital,Kolkata,West Bengal,Private,200,4.2,Yes,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | Critical Care,"Desun More, Kasba Golpark, EM Bypass, Kolkata 700107",22.5993,88.408,Cervical cancer,Surgery/radiotherapy with chemotherapy as per oncology protocol,662400,15,12,11,1
97,Manipal Hospital Kolkata,Kolkata,West Bengal,Private,350,4.3,Yes,Cardiac Sciences | Neurology | Oncology | Transplant | Gastroenterology,"Plot No 130, Action Area III, Newtown, Kolkata 700156",22.5922,88.3356,Prostate cancer,Surgery/radiotherapy with hormonal therapy as indicated,391300,15,14,13,1
98,EKO Superspeciality,Kolkata,West Bengal,Private,200,4.1,Yes,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | Urology,"Diamond Harbour Road, Kolkata 700053",22.5408,88.3229,Stomach cancer,Surgical resection with chemotherapy as per oncology protocol,686100,11,9,8,1
99,AIG Hospitals,Hyderabad,Telangana,Private,450,4.7,Yes,Gastroenterology | Liver Transplant | Hepatology | Surgical Gastro,"Mindspace Road, Gachibowli, Hyderabad 500032",17.3993,78.5202,Blood cancer,Chemotherapy protocol with haematology-oncology supervision,866900,26,17,15,2
100,KIMS Hospitals,Hyderabad,Telangana,Private,1000,4.5,Yes,Cardiac Sciences | Neurology | Orthopedics | Oncology | Transplant,"1-8-31/1, Minister Road, Krishna Nagar Colony, Begumpet, Secunderabad 500003",17.3462,78.4815,Leukemia,Chemotherapy protocol with haematology-oncology supervision,670700,41,32,25,7
101,Apollo Jubilee Hills,Hyderabad,Telangana,Private,500,4.5,Yes,Cardiology | Oncology | Neurosciences | Transplant,"Road No 72, Opp Bharatiya Vidya Bhavan School, Film Nagar, Jubilee Hills, Hyderabad 500033",17.3721,78.4682,Lymphoma,Chemotherapy/radiotherapy with haematology-oncology follow-up,320600,25,17,16,1
102,Yashoda Hospitals,Hyderabad,Telangana,Private,500,4.4,Yes,Neuroscience | Cardiac Sciences | Gastroenterology | Orthopedics,"Behind Hari Hara Kala Bhavan, SP Road, Secunderabad 500003",17.4132,78.4566,Brain cancer,Neurosurgical resection with radiotherapy/chemotherapy follow-up,762800,36,30,25,5
103,Continental Hospitals,Hyderabad,Telangana,Private,750,4.4,Yes,Orthopedics | Transplant | Cardiac Sciences | Robotic Surgery,"IT and Financial District, Nanakramguda, Gachibowli, Hyderabad 500032",17.3785,78.5006,Ovarian cancer,Surgery with chemotherapy as per oncology protocol,269400,16,13,11,2
104,Care Hospitals,Hyderabad,Telangana,Private,435,4.4,Yes,Cardiac Sciences | Neuroscience | Oncology | Orthopedics,"Road No 1, Banjara Hills, Hyderabad 500034",17.394,78.4728,Pancreatic cancer,Surgical/chemotherapy management as per oncology protocol,236600,45,29,27,2
105,Basavatarakam Cancer Hospital,Hyderabad,Telangana,Trust,300,4.6,Yes,Oncology | Surgical Oncology | Radiation Oncology | Chemotherapy,"Road No 14, Banjara Hills, Hyderabad 500034",17.4055,78.4784,Thyroid cancer,Surgical resection with radioactive iodine therapy as indicated,205700,10,8,7,1
106,LV Prasad Eye Institute,Hyderabad,Telangana,Trust,200,4.8,Yes,Ophthalmology | Cornea | Retina | Glaucoma,"LV Prasad Marg, Banjara Hills, Hyderabad 500034",17.4139,78.5068,Skin cancer,Surgical excision with follow-up dermatological oncology care,120700,22,13,12,1
107,NIMS Hyderabad,Hyderabad,Telangana,Government,1500,4.3,Yes,Cardiac Sciences | Neurology | Nephrology | General Surgery,"Punjagutta, Hyderabad 500082",17.4084,78.4608,Fracture,Reduction and immobilisation with surgical fixation if needed,44200,34,29,27,2
108,Osmania General Hospital,Hyderabad,Telangana,Government,1168,4.1,Yes,General Medicine | Surgery | Orthopedics | Trauma,"Afzal Gunj, Hyderabad 500012",17.3406,78.5211,Osteoarthritis,Pain management and physiotherapy with joint replacement if severe,37300,43,31,26,5
109,Star Hospitals,Hyderabad,Telangana,Private,200,4.5,Yes,Cardiac Surgery | Interventional Cardiology | Vascular Surgery,"Road No 10, Banjara Hills, Hyderabad 500034",17.3778,78.4974,Rheumatoid arthritis,Disease-modifying antirheumatic therapy with monitoring,57500,20,12,10,2
110,Global Hospitals Hyderabad,Hyderabad,Telangana,Private,500,4.4,Yes,Liver Transplant | Gastroenterology | Renal Transplant,"6-1-1070, Lakdi-ka-pul, Hyderabad 500004",17.3817,78.4959,Osteoporosis,Calcium/vitamin D and bone-strengthening medication,17400,26,17,14,3
111,Fernandez Hospital,Hyderabad,Telangana,Private,200,4.6,Yes,Maternity | Neonatology | Gynaecology | Fertility,"Bogulkunta, Hyderguda, Hyderabad 500001",17.345,78.4842,Gout,Anti-inflammatory medication with dietary and lifestyle management,2300,22,18,16,2
112,Sunshine Hospitals,Hyderabad,Telangana,Private,250,4.3,Yes,Orthopedics | Joint Replacement | Sports Medicine,"PG Road, Paradise Circle, Secunderabad 500003",17.3887,78.4785,Back pain,Physiotherapy with analgesics and posture correction,6100,17,10,8,2
113,MaxCure Hospitals,Hyderabad,Telangana,Private,300,4.3,Yes,Cardiac Sciences | Orthopedics | Neurology | Urology,"Behind Cyber Towers, Hi-Tech City Main Road, Madhapur, Hyderabad 500081",17.3947,78.4731,Neck pain,Physiotherapy with analgesics and posture correction,17200,31,23,19,4
114,Ruby Hall Clinic,Pune,Maharashtra,Private,750,4.5,Yes,Cardiac Sciences | Neurology | Oncology | Transplant | Orthopedics,"40, Sassoon Road, Pune 411001",18.55,73.8585,Scoliosis,Bracing with corrective surgery if severe,276800,56,40,32,8
115,Sahyadri Hospital,Pune,Maharashtra,Private,500,4.4,Yes,Cardiac Sciences | Neuroscience | Orthopedics | Oncology,"Plot No 9-C, Erandwane, Pune 411004",18.5602,73.8451,Tendinitis,"Rest, physiotherapy and anti-inflammatory medication",12100,38,24,21,3
116,Jehangir Hospital,Pune,Maharashtra,Private,350,4.4,Yes,Cardiac Sciences | Orthopedics | Neurology | IVF,"32, Sassoon Road, Pune 411001",18.4869,73.8728,Sports injuries,"Physiotherapy with rest and, if needed, surgical repair",58900,14,11,10,1
117,Deenanath Mangeshkar Hospital,Pune,Maharashtra,Trust,800,4.5,Yes,Cardiac Sciences | Oncology | Neuroscience | Transplant,"Near Mhatre Bridge, Erandawane, Pune 411004",18.4961,73.858,Bone cancer,Surgical resection with chemotherapy/radiotherapy as indicated,244100,88,81,67,14
118,KEM Hospital Pune,Pune,Maharashtra,Trust,500,4.3,Yes,General Medicine | Surgery | Paediatrics | Obstetrics,"489 Rasta Peth, Sardar Moodliar Road, Pune 411011",18.5347,73.8307,Cataract,Phacoemulsification surgery with intraocular lens implant,15500,23,21,18,3
119,Sassoon General Hospital,Pune,Maharashtra,Government,1300,4,Yes,General Medicine | Surgery | Trauma | Burns,"Near Pune Railway Station, Pune 411001",18.4873,73.8276,Glaucoma,Pressure-lowering eye drops with laser/surgical management if needed,15900,107,70,61,9
120,Aditya Birla Memorial Hospital,Pune,Maharashtra,Private,500,4.3,Yes,Cardiac Sciences | Oncology | Robotic Surgery | Transplant,"Aditya Birla Hospital Marg, Thergaon, Chinchwad, Pune 411033",18.4956,73.8564,Conjunctivitis,Antibiotic/antiviral eye drops with hygiene counselling,5200,37,21,20,1
121,Jupiter Hospital Pune,Pune,Maharashtra,Private,350,4.3,Yes,Cardiac Sciences | Orthopedics | Urology | Nephrology,"Baner-Pashan Link Road, Baner, Pune 411045",18.5271,73.8562,Macular degeneration,Anti-VEGF injections with regular ophthalmic monitoring,134900,23,20,18,2
122,Sancheti Hospital,Pune,Maharashtra,Private,200,4.4,Yes,Orthopedics | Joint Replacement | Sports Medicine | Spine,"16, Shivaji Nagar, Pune 411005",18.4907,73.8979,Retinal detachment,Surgical repair with post-operative ophthalmic follow-up,34600,6,5,5,0
123,Noble Hospital Pune,Pune,Maharashtra,Private,300,4.2,Yes,Cardiac Sciences | Orthopedics | General Surgery | Gastroenterology,"153, Magarpatta City Road, Hadapsar, Pune 411013",18.5458,73.8257,Dry eye disease,Lubricating eye drops with lifestyle modification,3100,10,9,8,1
124,Command Hospital Pune,Pune,Maharashtra,Government,1000,4.3,Yes,General Medicine | Surgery | Orthopedics | Cardiac Sciences,"Wanowrie, Pune 411040",18.5525,73.8477,Corneal disease,Medical management with corneal transplant if indicated,87000,69,43,36,7
125,Bharati Hospital Pune,Pune,Maharashtra,Trust,600,4.1,Yes,General Medicine | Surgery | Orthopedics | Dental,"Bharati Vidyapeeth Campus, Dhankawadi, Pune 411043",18.4784,73.901,Refractive errors,Corrective lenses/refractive surgery as indicated,11300,49,35,30,5
126,Inamdar Hospital Pune,Pune,Maharashtra,Private,300,4.2,Yes,Cardiac Sciences | Orthopedics | Neurology | Gastroenterology,"Sr No 15, Fatima Nagar, Wanowrie, Pune 411040",18.5233,73.8189,Blindness,Ophthalmic evaluation with corrective/surgical intervention where possible,124400,31,22,17,5
127,Zydus Hospital,Ahmedabad,Gujarat,Private,550,4.4,Yes,Cardiac Sciences | Neuroscience | Oncology | Transplant | Robotic Surgery,"Nr Sola Bridge, SG Highway, Thaltej, Ahmedabad 380054",23.0492,72.5684,Acne,Topical retinoids/antibiotics with dermatology follow-up,2600,20,13,11,2
128,Sterling Hospital,Ahmedabad,Gujarat,Private,400,4.3,Yes,Cardiac Sciences | Orthopedics | Neurology | Urology,"Sterling Hospital Road, Memnagar, Ahmedabad 380052",23.0653,72.6096,Eczema,Topical steroids/moisturisers with trigger avoidance,7800,44,30,27,3
129,Apollo Hospitals Ahmedabad,Ahmedabad,Gujarat,Private,400,4.4,Yes,Cardiac Sciences | Transplant | Oncology | Orthopedics,"Plot No 1A, Bhat GIDC Estate, Gandhinagar 382428",23.0022,72.6023,Psoriasis,Topical/systemic therapy with dermatology follow-up,16500,17,10,8,2
130,HCG Cancer Centre,Ahmedabad,Gujarat,Private,200,4.5,Yes,Oncology | Radiation Therapy | Surgical Oncology | Bone Marrow Transplant,"Sola Science City Road, Off SG Highway, Sola, Ahmedabad 380060",22.9927,72.542,Dermatitis,Topical corticosteroids/emollients with trigger avoidance,5700,13,10,9,1
131,Civil Hospital Ahmedabad,Ahmedabad,Gujarat,Government,2500,4.1,Yes,General Medicine | Surgery | Paediatrics | Psychiatry,"Asarwa, Ahmedabad 380016",23.0564,72.5827,Fungal infections,Topical/oral antifungal therapy with hygiene measures,800,226,144,123,21
132,CIMS Hospital,Ahmedabad,Gujarat,Private,350,4.4,Yes,Cardiac Sciences | Neurology | Gastroenterology | Transplant,"Off Science City Road, Sola, Ahmedabad 380060",23.0593,72.5295,Scabies,Topical scabicide with hygiene measures,3700,13,11,10,1
133,Shalby Hospital,Ahmedabad,Gujarat,Private,300,4.3,Yes,Joint Replacement | Orthopedics | Spine | Sports Medicine,"Opp Karnavati Club, SG Highway, Ahmedabad 380015",22.9953,72.6134,Vitiligo,Topical therapy/phototherapy with dermatology follow-up,22400,25,15,14,1
134,UN Mehta Institute of Cardiology,Ahmedabad,Gujarat,Government,450,4.5,Yes,Cardiac Surgery | Cardiology | Paediatric Cardiac | Heart Transplant,"Civil Hospital Campus, Asarwa, Ahmedabad 380016",23.0172,72.5868,Urticaria,Antihistamines with allergen avoidance counselling,1400,47,38,30,8
135,KD Hospital,Ahmedabad,Gujarat,Private,250,4.2,Yes,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics,"Vaishnodevi Circle, SG Highway, Ahmedabad 382421",23.0422,72.6131,Skin infections,Topical/oral antibiotics with wound care,7000,14,8,7,1
136,Narayana Multispeciality Ahmedabad,Ahmedabad,Gujarat,Private,300,4.3,Yes,Cardiac Sciences | Orthopedics | Neurology | Renal Sciences,"Opp Rakhial Police Station, Rakhial, Ahmedabad 380023",23.0536,72.5767,Anemia,Iron/vitamin supplementation with dietary correction and monitoring,14300,34,23,18,5
137,SAL Hospital,Ahmedabad,Gujarat,Private,200,4.2,Yes,General Medicine | Surgery | Orthopedics | Gynaecology,"Opp Doordarshan Tower, Drive-in Road, Thaltej, Ahmedabad 380054",22.9926,72.5531,Iron-deficiency anemia,Iron supplementation with dietary correction,5600,20,15,14,1
138,VS General Hospital,Ahmedabad,Gujarat,Government,1200,4,Yes,General Medicine | Surgery | Trauma | Orthopedics,"Ellis Bridge, Ahmedabad 380006",23.0373,72.5715,Sickle-cell disease,Pain management and transfusion therapy with monitoring,52700,79,53,44,9
139,Max Super Speciality Hospital Patparganj,Delhi,Delhi,Private,400,4.4,Yes,Cardiology | Neurology | Oncology | Nephrology | Gastroenterology | Orthopedics,"108A, IP Extension, Patparganj, Delhi 110092",28.6416,77.2436,Thalassemia,Regular blood transfusion with iron-chelation therapy,153400,43,38,31,7
140,Sri Balaji Action Medical Institute,Delhi,Delhi,Private,300,4.3,Yes,Cardiology | Oncology | Neurology | Orthopedics | Nephrology | Urology,"FC-34, A-4, Paschim Vihar, New Delhi 110063",28.6184,77.2322,Hemophilia,Factor-replacement therapy with haematology monitoring,260500,18,15,12,3
141,Manipal Hospital Dwarka,Delhi,Delhi,Private,380,4.3,Yes,Cardiology | Neurosciences | Oncology | Orthopedics | Gastroenterology | Transplant,"Sector 6, Dwarka, New Delhi 110075",28.5837,77.2383,Blood-clotting disorders,Anticoagulant/factor-replacement therapy with haematology monitoring,50000,20,15,14,1
142,Fortis Hospital Shalimar Bagh,Delhi,Delhi,Private,262,4.3,Yes,Cardiology | Neurology | Oncology | Orthopedics | Gastroenterology | Renal Sciences,"AA-299, Shaheed Udham Singh Marg, Shalimar Bagh, Delhi 110088",28.5721,77.1878,Depression,Psychotherapy with antidepressant medication as needed,16500,8,6,5,1
143,Holy Family Hospital,Delhi,Delhi,Trust,345,4.3,Yes,General Medicine | Surgery | Cardiology | Orthopedics | Gynaecology | Paediatrics,"Okhla Road, New Delhi 110025",28.5942,77.1653,Anxiety disorders,Counselling/psychotherapy with anxiolytic medication as needed,7900,36,30,29,1
144,Jaypee Hospital,Noida,Uttar Pradesh,Private,525,4.4,Yes,Cardiac Sciences | Oncology | Neurosciences | Liver Transplant | Kidney Transplant | Orthopedics,"Sector 128, Noida, Uttar Pradesh 201304",28.5632,77.4257,Bipolar disorder,Mood-stabilising medication with psychiatric follow-up,12400,62,37,33,4
145,Yatharth Super Speciality Hospital,Noida,Uttar Pradesh,Private,450,4.3,Yes,Cardiology | Neurosciences | Oncology | Orthopedics | Gastroenterology | Critical Care,"Plot No 1, Gejha Road, Sector 110, Noida, Uttar Pradesh 201304",28.4945,77.3709,Schizophrenia,Antipsychotic medication with psychiatric follow-up,6100,49,29,25,4
146,Metro Hospital and Heart Institute,Noida,Uttar Pradesh,Private,317,4.2,Yes,Cardiology | Cardiac Surgery | Neurology | Orthopedics | Nephrology | Urology,"L-94, Sector 11, Noida, Uttar Pradesh 201301",28.4912,77.3826,Obsessive-compulsive disorder (OCD),Psychotherapy with medication management,24500,20,12,10,2
147,Park Hospital Gurugram,Gurugram,Haryana,Private,275,4.2,Yes,Cardiology | Neurosciences | Orthopedics | Oncology | Gastroenterology | Renal Sciences,"Q Block, South City 2, Sohna Road, Sector 47, Gurugram 122018",28.447,77.0394,PTSD,Psychotherapy with medication management as needed,7100,10,8,7,1
148,P D Hinduja Hospital Khar,Mumbai,Maharashtra,Trust,96,4.2,Yes,General Medicine | Cardiology | Orthopedics | Gynaecology | Paediatrics | Surgery,"11th Road, Khar West, Mumbai 400052",19.0367,72.8426,ADHD,Behavioural therapy with stimulant/non-stimulant medication management,13900,3,3,2,1
149,Asian Heart Institute,Mumbai,Maharashtra,Private,250,4.6,Yes,Cardiology | Cardiac Surgery | Cardiac Sciences | Critical Care,"G/N Block, Bandra Kurla Complex, Bandra East, Mumbai 400051",19.0445,72.8999,Eating disorders,Psychotherapy and nutritional rehabilitation with medical monitoring,36000,20,18,16,2
150,Bhatia Hospital,Mumbai,Maharashtra,Trust,200,4.3,Yes,Cardiology | Gynaecology | Paediatrics | Orthopedics | Gastroenterology | General Medicine,"Tardeo Road, Old Chikalwadi, Grant Road West, Mumbai 400007",19.0331,72.836,Substance-use disorders,De-addiction programme with counselling and medical support,10800,15,11,11,0
151,Kohinoor Hospital,Mumbai,Maharashtra,Private,175,4.2,Yes,Cardiology | Orthopedics | Joint Replacement | Bariatric Surgery | Oncology | Neurology,"Kirol Road, Off LBS Road, Kurla West, Mumbai 400070",19.0782,72.8684,Endometriosis,Hormonal therapy with surgical management if indicated,90400,17,12,10,2
152,Sir JJ Hospital,Mumbai,Maharashtra,Government,1885,4,No,General Medicine | Surgery | Cardiology | Neurosurgery | Oncology | Trauma,"JJ Marg, Byculla, Mumbai 400008",19.0937,72.8813,Uterine fibroids,Hormonal therapy with surgical management if indicated,52000,141,110,95,15
153,SRV Hospital Goregaon,Mumbai,Maharashtra,Private,91,4.2,Yes,General Medicine | Cardiology | Orthopedics | Gynaecology | Gastroenterology | Critical Care,"179/180, Road No 2, Jawahar Nagar, Goregaon West, Mumbai 400062",19.0694,72.8351,Pregnancy complications,Specialist obstetric monitoring and management,79400,7,5,4,1
154,MGM New Bombay Hospital,Navi Mumbai,Maharashtra,Trust,400,4.1,Yes,Cardiology | Neurosciences | Oncology | Orthopedics | Nephrology | Paediatrics,"Plot No 35, Sector 3, Vashi, Navi Mumbai 400703",19.0001,73.0622,Preeclampsia,Blood-pressure management with close maternal-foetal monitoring,48300,26,16,15,1
155,Surya Hospital Santacruz,Mumbai,Maharashtra,Private,200,4.4,Yes,Paediatrics | Neonatology | Gynaecology | Maternity | IVF,"101-102, Mangal Ashirwad, SV Road, Santacruz West, Mumbai 400054",19.0608,72.8336,Ectopic pregnancy,Emergency surgical management with post-operative care,61100,8,7,7,0
156,Karuna Hospital,Mumbai,Maharashtra,Private,156,4.2,Yes,Cardiology | Orthopedics | Gynaecology | Gastroenterology | Urology | General Medicine,"Jeevan Bima Nagar, Near Bhagwati Hospital, Borivali West, Mumbai 400103",19.0841,72.8924,Testicular cancer,Surgery with chemotherapy as per oncology protocol,176300,4,3,2,1
157,Fortis Hiranandani Hospital Vashi,Navi Mumbai,Maharashtra,Private,149,4.3,Yes,Cardiology | Neurosciences | Oncology | Orthopedics | Renal Sciences | Kidney Transplant,"Mini Sea Shore Road, Sector 10A, Vashi, Navi Mumbai 400703",19.0727,72.9923,Erectile dysfunction,Medical therapy with counselling and lifestyle modification,17600,10,7,6,1
158,Cytecare Cancer Hospital,Bengaluru,Karnataka,Private,150,4.5,Yes,Oncology | Surgical Oncology | Radiation Oncology | Bone Marrow Transplant,"Venkatala Village, Near NMIT, Bagalur Cross, Yelahanka, Bengaluru 560064",13.0159,77.5988,Infertility,Fertility evaluation with medical/assisted reproductive treatment,106600,9,7,7,0
